"id-mapa","anio","mes","dia","fecha","franja","tipo","subtipo","uso_arma","uso_moto","barrio","comuna","latitud","longitud","cantidad"
1399612,"2024","ENERO","LUNES","2024-01-01",17,"Robo","Robo total","SI","NO","CHACARITA",15,"-34.585182","-58.453967",1
1399613,"2024","ENERO","LUNES","2024-01-01",6,"Robo","Robo total","SI","NO","CHACARITA",15,"-34.584186","-58.453476",1
1399614,"2024","ENERO","LUNES","2024-01-01",1,"Hurto","Hurto total","NO","NO","MATADEROS",9,"-34.66436","-58.502121",1
1399615,"2024","ENERO","LUNES","2024-01-01",19,"Robo","Robo total","NO","NO","PALERMO",14,"-34.564851","-58.434855",1
1399616,"2024","ENERO","LUNES","2024-01-01",20,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.605522","-58.391176",1
1399617,"2024","ENERO","LUNES","2024-01-01",5,"Hurto","Hurto total","NO","NO","NUEVA POMPEYA",4,"-34.644193","-58.426612",1
1399618,"2024","ENERO","LUNES","2024-01-01",15,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.61748862","-58.38155252",1
1399619,"2024","ENERO","LUNES","2024-01-01",2,"Hurto","Hurto total","NO","NO","MATADEROS",9,"-34.652431","-58.501514",1
1399620,"2024","ENERO","LUNES","2024-01-01",7,"Robo","Robo total","SI","NO","CHACARITA",15,"-34.584358","-58.453433",1
1399621,"2024","ENERO","LUNES","2024-01-01",16,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.61487508","-58.37509385",1
1399622,"2024","ENERO","LUNES","2024-01-01",22,"Robo","Robo total","NO","NO","LINIERS",9,"-34.64012","-58.525001",1
1399623,"2024","ENERO","LUNES","2024-01-01",19,"Robo","Robo total","NO","NO","PALERMO",14,"-34.568057","-58.435421",1
1399624,"2024","ENERO","LUNES","2024-01-01",0,"Robo","Robo total","NO","NO","NUEVA POMPEYA",4,"-34.652015","-58.416374",1
1399625,"2024","ENERO","LUNES","2024-01-01",13,"Robo","Robo total","NO","NO","CHACARITA",15,"-34.580402","-58.455582",1
1399626,"2024","ENERO","LUNES","2024-01-01",19,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.60119604","-58.3825383",1
1399627,"2024","ENERO","LUNES","2024-01-01",1,"Hurto","Hurto total","NO","NO","PALERMO",14,"-34.57342","-58.436312",1
1399628,"2024","ENERO","LUNES","2024-01-01",23,"Robo","Robo total","SI","NO","NUEVA POMPEYA",4,"-34.643573","-58.422356",1
1399629,"2024","ENERO","LUNES","2024-01-01",15,"Robo","Robo total","NO","NO","LINIERS",9,"-34.639147","-58.526418",1
1399630,"2024","ENERO","LUNES","2024-01-01",16,"Robo","Robo total","NO","NO","NUEVA POMPEYA",4,"-34.647846","-58.430925",1
1399631,"2024","ENERO","LUNES","2024-01-01",7,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.610215","-58.391288",1
1399632,"2024","ENERO","LUNES","2024-01-01",2,"Robo","Robo total","NO","NO","CHACARITA",15,"-34.582238","-58.453494",1
1399633,"2024","ENERO","LUNES","2024-01-01",5,"Hurto","Hurto total","NO","NO","MATADEROS",9,"-34.66413842","-58.49829273",1
1399634,"2024","ENERO","LUNES","2024-01-01",5,"Hurto","Hurto total","NO","NO","VILLA SANTA RITA",11,"-34.61974","-58.48578",1
1399635,"2024","ENERO","LUNES","2024-01-01",11,"Hurto","Hurto total","NO","NO","MATADEROS",9,"-34.64954036","-58.50085836",1
1399636,"2024","ENERO","LUNES","2024-01-01",1,"Robo","Robo automotor","SI","NO","LINIERS",9,"-34.6347301","-58.52426629",1
1399637,"2024","ENERO","LUNES","2024-01-01",13,"Robo","Robo total","SI","NO","NUEVA POMPEYA",4,"-34.65001812","-58.40569117",1
1399638,"2024","ENERO","LUNES","2024-01-01",2,"Robo","Robo total","NO","SI","VILLA SANTA RITA",11,"-34.617624","-58.478314",1
1399639,"2024","ENERO","LUNES","2024-01-01",6,"Robo","Robo total","NO","NO","NUEVA POMPEYA",4,"-34.649527","-58.412574",1
1399640,"2024","ENERO","LUNES","2024-01-01",8,"Robo","Robo total","NO","NO","FLORES",7,"-34.650338","-58.430986",1
1399641,"2024","ENERO","LUNES","2024-01-01",10,"Robo","Robo total","NO","NO","SAN TELMO",1,"-34.619873","-58.370107",1
1399642,"2024","ENERO","LUNES","2024-01-01",4,"Robo","Robo total","NO","NO","SAN TELMO",1,"-34.619947","-58.37003",1
1399643,"2024","ENERO","LUNES","2024-01-01",17,"Hurto","Hurto total","NO","NO","CHACARITA",15,"-34.5796629","-58.45811249",1
1399644,"2024","ENERO","LUNES","2024-01-01",15,"Hurto","Hurto total","NO","NO","MATADEROS",9,"-34.65337082","-58.50368376",1
1399645,"2024","ENERO","LUNES","2024-01-01",6,"Robo","Robo total","NO","SI","PALERMO",14,"-34.597744","-58.423371",1
1399646,"2024","ENERO","LUNES","2024-01-01",23,"Robo","Robo total","NO","NO","ALMAGRO",5,"-34.604014","-58.414519",1
1399647,"2024","ENERO","LUNES","2024-01-01",3,"Robo","Robo total","NO","NO","VILLA DEL PARQUE",11,"-34.59882161","-58.49285322",1
1399648,"2024","ENERO","LUNES","2024-01-01",2,"Hurto","Hurto total","NO","NO","PUERTO MADERO",1,"-34.608042","-58.366066",1
1399649,"2024","ENERO","LUNES","2024-01-01",20,"Hurto","Hurto total","NO","NO","VILLA PUEYRREDON",12,"-34.58542976","-58.51117745",1
1399650,"2024","ENERO","LUNES","2024-01-01",2,"Hurto","Hurto total","NO","NO","VERSALLES",10,"-34.63232707","-58.52827859",1
1399651,"2024","ENERO","LUNES","2024-01-01",2,"Hurto","Hurto total","NO","NO","PUERTO MADERO",1,"-34.609837","-58.363666",1
1399652,"2024","ENERO","LUNES","2024-01-01",14,"Robo","Robo total","NO","NO","BOCA",4,"-34.639892","-58.367629",1
1399653,"2024","ENERO","LUNES","2024-01-01",17,"Robo","Robo total","NO","NO","VELEZ SARSFIELD",10,"-34.63989","-58.48488",1
1399654,"2024","ENERO","LUNES","2024-01-01",5,"Robo","Robo total","SI","NO","VERSALLES",10,"-34.62768","-58.520515",1
1399655,"2024","ENERO","LUNES","2024-01-01",0,"Robo","Robo total","NO","NO","VELEZ SARSFIELD",10,"-34.628339","-58.489502",1
1399656,"2024","ENERO","LUNES","2024-01-01",16,"Hurto","Hurto total","NO","NO","PALERMO",14,"-34.57955407","-58.42457112",1
1399657,"2024","ENERO","LUNES","2024-01-01",4,"Hurto","Hurto total","NO","NO","PUERTO MADERO",1,"-34.607472","-58.366126",1
1399658,"2024","ENERO","LUNES","2024-01-01",5,"Robo","Robo total","NO","NO","VERSALLES",10,"-34.632796","-58.520236",1
1399659,"2024","ENERO","LUNES","2024-01-01",2,"Hurto","Hurto total","NO","NO","VILLA LURO",10,"-34.62965106","-58.50778191",1
1399660,"2024","ENERO","LUNES","2024-01-01",3,"Hurto","Hurto total","NO","NO","PUERTO MADERO",1,"-34.607959","-58.36514",1
1399661,"2024","ENERO","LUNES","2024-01-01",0,"Hurto","Hurto total","NO","NO","PUERTO MADERO",1,"-34.60904408","-58.3665597",1
1399662,"2024","ENERO","LUNES","2024-01-01",8,"Hurto","Hurto total","NO","NO","ALMAGRO",5,"-34.603801","-58.420969",1
1399663,"2024","ENERO","LUNES","2024-01-01",2,"Robo","Robo total","NO","NO","PALERMO",14,"-34.589346","-58.429232",1
1399664,"2024","ENERO","LUNES","2024-01-01",0,"Robo","Robo total","SI","NO","BOCA",4,"-34.63212","-58.363016",1
1399665,"2024","ENERO","LUNES","2024-01-01",19,"Hurto","Hurto total","NO","NO","PUERTO MADERO",1,"-34.619005","-58.365581",1
1399666,"2024","ENERO","LUNES","2024-01-01",10,"Robo","Robo total","NO","NO","PALERMO",14,"-34.57560892","-58.42253669",1
1399667,"2024","ENERO","LUNES","2024-01-01",3,"Hurto","Hurto total","NO","NO","VILLA DEVOTO",11,"-34.587676","-58.512706",1
1399668,"2024","ENERO","LUNES","2024-01-01",1,"Robo","Robo total","NO","NO","CONSTITUCION",1,"-34.626522","-58.380942",1
1399669,"2024","ENERO","LUNES","2024-01-01",1,"Hurto","Hurto total","NO","NO","CONSTITUCION",1,"-34.625369","-58.382848",1
1399670,"2024","ENERO","LUNES","2024-01-01",8,"Robo","Robo total","NO","NO","VILLA DEL PARQUE",11,"-34.60278434","-58.49390162",1
1399671,"2024","ENERO","LUNES","2024-01-01",15,"Hurto","Hurto total","NO","NO","RETIRO",1,"-34.59213483","-58.37374077",1
1399672,"2024","ENERO","LUNES","2024-01-01",18,"Hurto","Hurto total","NO","NO","ALMAGRO",5,"-34.62066558","-58.42228615",1
1399673,"2024","ENERO","LUNES","2024-01-01",3,"Hurto","Hurto total","NO","NO","PUERTO MADERO",1,"-34.607959","-58.36514",1
1399674,"2024","ENERO","LUNES","2024-01-01",23,"Hurto","Hurto total","NO","NO","VILLA DEVOTO",11,"-34.604119","-58.509139",1
1399675,"2024","ENERO","LUNES","2024-01-01",1,"Hurto","Hurto total","NO","NO","VILLA DEVOTO",11,"-34.602133","-58.511536",1
1399676,"2024","ENERO","LUNES","2024-01-01",9,"Robo","Robo total","NO","NO","VILLA DEVOTO",11,"-34.5997977","-58.51660222",1
1399677,"2024","ENERO","LUNES","2024-01-01",10,"Hurto","Hurto total","NO","NO","VILLA DEL PARQUE",11,"-34.601427","-58.497203",1
1399678,"2024","ENERO","LUNES","2024-01-01",10,"Hurto","Hurto total","NO","NO","PUERTO MADERO",1,"-34.613215","-58.363592",1
1399679,"2024","ENERO","LUNES","2024-01-01",17,"Robo","Robo total","NO","NO","VILLA LURO",10,"-34.63104013","-58.50377416",1
1399680,"2024","ENERO","LUNES","2024-01-01",9,"Hurto","Hurto total","NO","NO","VILLA REAL",10,"-34.622897","-58.523505",1
1399681,"2024","ENERO","LUNES","2024-01-01",19,"Robo","Robo total","NO","NO","ALMAGRO",5,"-34.60299","-58.418025",1
1399682,"2024","ENERO","LUNES","2024-01-01",22,"Robo","Robo total","NO","NO","VILLA DEL PARQUE",11,"-34.597176","-58.492805",1
1399683,"2024","ENERO","LUNES","2024-01-01",19,"Robo","Robo total","NO","NO","BOCA",4,"-34.6375884","-58.35623672",1
1399684,"2024","ENERO","LUNES","2024-01-01",3,"Robo","Robo total","NO","NO","ALMAGRO",5,"-34.599449","-58.414909",1
1399685,"2024","ENERO","LUNES","2024-01-01",6,"Robo","Robo total","NO","NO","VILLA DEL PARQUE",11,"-34.603446","-58.4938",1
1399686,"2024","ENERO","LUNES","2024-01-01",11,"Hurto","Hurto total","NO","NO","VILLA REAL",10,"-34.619768","-58.518741",1
1399687,"2024","ENERO","LUNES","2024-01-01",3,"Robo","Robo total","NO","SI","PALERMO",14,"-34.583388","-58.429421",1
1399688,"2024","ENERO","LUNES","2024-01-01",2,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.6109981","-58.3681403",1
1399689,"2024","ENERO","LUNES","2024-01-01",1,"Hurto","Hurto total","NO","NO","VILLA DEVOTO",11,"-34.604106","-58.52026",1
1399690,"2024","ENERO","LUNES","2024-01-01",18,"Hurto","Hurto total","NO","NO","FLORESTA",10,"-34.630021","-58.485447",1
1399691,"2024","ENERO","LUNES","2024-01-01",14,"Hurto","Hurto total","NO","NO","BOCA",4,"-34.630479","-58.367552",1
1399692,"2024","ENERO","LUNES","2024-01-01",16,"Robo","Robo total","NO","NO","PALERMO",14,"-34.578088","-58.423787",1
1399693,"2024","ENERO","LUNES","2024-01-01",21,"Hurto","Hurto total","NO","NO","VILLA DEVOTO",11,"-34.60210996","-58.50764546",1
1399694,"2024","ENERO","LUNES","2024-01-01",1,"Hurto","Hurto total","NO","NO","VERSALLES",10,"-34.631499","-58.51939",1
1399695,"2024","ENERO","LUNES","2024-01-01",3,"Hurto","Hurto total","NO","NO","PALERMO",14,"-34.586535","-58.437104",1
1399696,"2024","ENERO","LUNES","2024-01-01",18,"Hurto","Hurto total","NO","NO","CONSTITUCION",1,"-34.624878","-58.387619",1
1399697,"2024","ENERO","LUNES","2024-01-01",15,"Robo","Robo total","NO","NO","NUEVA POMPEYA",4,"-34.649397","-58.404549",1
1399698,"2024","ENERO","LUNES","2024-01-01",11,"Robo","Robo total","NO","NO","BOCA",4,"-34.644079","-58.361198",1
1399699,"2024","ENERO","LUNES","2024-01-01",20,"Robo","Robo total","NO","NO","RETIRO",1,"-34.590128","-58.37328",1
1399700,"2024","ENERO","LUNES","2024-01-01",19,"Robo","Robo total","NO","NO","FLORES",7,"-34.62326288","-58.46656801",1
1399701,"2024","ENERO","LUNES","2024-01-01",16,"Robo","Robo total","SI","SI","NUEVA POMPEYA",4,"-34.655784","-58.427732",1
1399702,"2024","ENERO","LUNES","2024-01-01",2,"Robo","Robo total","NO","NO","RECOLETA",2,"-34.59767539","-58.38702119",1
1399703,"2024","ENERO","LUNES","2024-01-01",10,"Hurto","Hurto total","NO","NO","PARQUE CHACABUCO",7,"-34.62848191","-58.42774097",1
1399704,"2024","ENERO","LUNES","2024-01-01",3,"Hurto","Hurto total","NO","NO","FLORES",7,"-34.642328","-58.462502",1
1399705,"2024","ENERO","LUNES","2024-01-01",19,"Hurto","Hurto total","NO","NO","VILLA PUEYRREDON",12,"-34.5936271","-58.50297566",1
1399706,"2024","ENERO","LUNES","2024-01-01",2,"Robo","Robo total","NO","NO","VILLA CRESPO",15,"-34.595235","-58.430779",1
1399707,"2024","ENERO","LUNES","2024-01-01",8,"Robo","Robo total","NO","NO","SAN TELMO",1,"-34.624886","-58.376455",1
1399708,"2024","ENERO","LUNES","2024-01-01",19,"Robo","Robo total","NO","NO","PALERMO",14,"-34.572112","-58.408107",1
1399709,"2024","ENERO","LUNES","2024-01-01",10,"Hurto","Hurto total","NO","NO","VILLA ORTUZAR",15,"-34.577616","-58.466934",1
1399710,"2024","ENERO","LUNES","2024-01-01",22,"Robo","Robo total","SI","SI","NUEVA POMPEYA",4,"-34.649214","-58.415954",1
1399711,"2024","ENERO","LUNES","2024-01-01",5,"Hurto","Hurto total","NO","NO","PALERMO",14,"-34.591574","-58.430846",1
1399712,"2024","ENERO","LUNES","2024-01-01",10,"Hurto","Hurto total","NO","NO","VILLA REAL",10,"-34.618531","-58.520837",1
1399713,"2024","ENERO","LUNES","2024-01-01",5,"Hurto","Hurto total","NO","NO","MATADEROS",9,"-34.653841","-58.516671",1
1399714,"2024","ENERO","LUNES","2024-01-01",3,"Hurto","Hurto total","NO","NO","VILLA URQUIZA",12,"-34.56745505","-58.5046396",1
1399715,"2024","ENERO","LUNES","2024-01-01",23,"Hurto","Hurto total","NO","NO","PALERMO",14,"-34.570493","-58.398091",1
1399716,"2024","ENERO","LUNES","2024-01-01",10,"Robo","Robo total","NO","NO","BOCA",4,"-34.62971805","-58.35877107",1
1399717,"2024","ENERO","LUNES","2024-01-01",19,"Robo","Robo total","NO","NO","CONSTITUCION",1,"-34.622158","-58.377539",1
1399718,"2024","ENERO","LUNES","2024-01-01",23,"Hurto","Hurto total","NO","NO","BELGRANO",13,"-34.556144","-58.462207",1
1399719,"2024","ENERO","LUNES","2024-01-01",12,"Hurto","Hurto total","NO","NO","RECOLETA",2,"-34.588383","-58.39877",1
1399720,"2024","ENERO","LUNES","2024-01-01",12,"Hurto","Hurto total","NO","NO","RETIRO",1,"-34.593002","-58.38029",1
1399721,"2024","ENERO","LUNES","2024-01-01",0,"Hurto","Hurto total","NO","NO","MONTE CASTRO",10,"-34.61981","-58.506151",1
1399722,"2024","ENERO","LUNES","2024-01-01",8,"Robo","Robo total","NO","NO","RECOLETA",2,"-34.58171874","-58.39215841",1
1399723,"2024","ENERO","LUNES","2024-01-01",4,"Hurto","Hurto total","NO","NO","BELGRANO",13,"-34.549561","-58.453488",1
1399724,"2024","ENERO","LUNES","2024-01-01",2,"Hurto","Hurto total","NO","NO","BELGRANO",13,"-34.549072","-58.448524",1
1399725,"2024","ENERO","LUNES","2024-01-01",16,"Hurto","Hurto total","NO","NO","BARRACAS",4,"-34.646406","-58.386105",1
1399726,"2024","ENERO","LUNES","2024-01-01",3,"Robo","Robo total","NO","NO","PUERTO MADERO",1,"-34.611119","-58.366332",1
1399727,"2024","ENERO","LUNES","2024-01-01",2,"Robo","Robo total","NO","NO","MONTE CASTRO",10,"-34.611099","-58.500409",1
1399728,"2024","ENERO","LUNES","2024-01-01",4,"Robo","Robo total","NO","NO","PUERTO MADERO",1,"-34.606323","-58.366248",1
1399729,"2024","ENERO","LUNES","2024-01-01",2,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,"-34.64616947","-58.40081243",1
1399730,"2024","ENERO","LUNES","2024-01-01",14,"Hurto","Hurto total","NO","NO","CONSTITUCION",1,"-34.632385","-58.386998",1
1399731,"2024","ENERO","LUNES","2024-01-01",21,"Robo","Robo total","NO","NO","BARRACAS",4,"-34.63717594","-58.37477209",1
1399732,"2024","ENERO","LUNES","2024-01-01",19,"Robo","Robo total","SI","NO","BARRACAS",4,"-34.629824","-58.370704",1
1399733,"2024","ENERO","LUNES","2024-01-01",0,"Robo","Robo total","NO","NO","VILLA URQUIZA",12,"-34.560978","-58.483271",1
1399734,"2024","ENERO","LUNES","2024-01-01",9,"Hurto","Hurto total","NO","NO","BARRACAS",4,"-34.643045","-58.369394",1
1399735,"2024","ENERO","LUNES","2024-01-01",15,"Robo","Robo total","NO","NO","VILLA URQUIZA",12,"-34.564615","-58.481902",1
1399736,"2024","ENERO","LUNES","2024-01-01",12,"Hurto","Hurto total","NO","NO","VILLA SANTA RITA",11,"-34.612376","-58.47895",1
1399737,"2024","ENERO","LUNES","2024-01-01",20,"Robo","Robo total","NO","NO","VILLA GRAL. MITRE",11,"-34.613079","-58.460849",1
1399738,"2024","ENERO","LUNES","2024-01-01",1,"Robo","Robo total","NO","NO","VILLA URQUIZA",12,"-34.567867","-58.486601",1
1399739,"2024","ENERO","LUNES","2024-01-01",13,"Hurto","Hurto automotor","NO","NO","VILLA URQUIZA",12,"-34.579858","-58.49361",1
1399740,"2024","ENERO","LUNES","2024-01-01",22,"Hurto","Hurto total","NO","NO","BARRACAS",4,"-34.635884","-58.372665",1
1399741,"2024","ENERO","LUNES","2024-01-01",2,"Robo","Robo total","NO","NO","COGHLAN",12,"-34.560517","-58.472031",1
1399742,"2024","ENERO","LUNES","2024-01-01",12,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,"-34.63234444","-58.40249222",1
1399743,"2024","ENERO","LUNES","2024-01-01",3,"Hurto","Hurto total","NO","NO","MATADEROS",9,"-34.665149","-58.505033",1
1399744,"2024","ENERO","LUNES","2024-01-01",2,"Hurto","Hurto total","NO","NO","BARRACAS",4,"-34.637236","-58.388947",1
1399745,"2024","ENERO","LUNES","2024-01-01",16,"Hurto","Hurto total","NO","NO","VILLA LUGANO",8,"-34.68506671","-58.45612002",1
1399746,"2024","ENERO","LUNES","2024-01-01",21,"Robo","Robo total","NO","NO","NUÑEZ",13,"-34.552519","-58.462506",1
1399747,"2024","ENERO","LUNES","2024-01-01",11,"Robo","Robo total","NO","NO","BARRACAS",4,"-34.65143","-58.396622",1
1399748,"2024","ENERO","LUNES","2024-01-01",18,"Hurto","Hurto total","NO","NO","VILLA REAL",10,"-34.622106","-58.524621",1
1399749,"2024","ENERO","LUNES","2024-01-01",7,"Robo","Robo total","NO","NO","PALERMO",14,"-34.55840705","-58.43375777",1
1399750,"2024","ENERO","LUNES","2024-01-01",21,"Robo","Robo total","SI","SI","SAN TELMO",1,"-34.627139","-58.367954",1
1399751,"2024","ENERO","LUNES","2024-01-01",12,"Robo","Robo total","NO","NO","PARQUE AVELLANEDA",9,"-34.65423163","-58.46726116",1
1399752,"2024","ENERO","LUNES","2024-01-01",18,"Hurto","Hurto total","NO","NO","RETIRO",1,"-34.581731","-58.381263",1
1399753,"2024","ENERO","LUNES","2024-01-01",7,"Hurto","Hurto total","NO","NO","PARQUE AVELLANEDA",9,"-34.658026","-58.477293",1
1399754,"2024","ENERO","LUNES","2024-01-01",6,"Robo","Robo total","NO","SI","PALERMO",14,"-34.587241","-58.438732",1
1399755,"2024","ENERO","LUNES","2024-01-01",3,"Hurto","Hurto total","NO","NO","VILLA CRESPO",15,"-34.602833","-58.449781",1
1399756,"2024","ENERO","LUNES","2024-01-01",19,"Robo","Robo total","NO","NO","CABALLITO",6,"-34.60275448","-58.43345848",1
1399757,"2024","ENERO","LUNES","2024-01-01",20,"Hurto","Hurto total","NO","NO","PATERNAL",15,"-34.60274696","-58.46429693",1
1399758,"2024","ENERO","LUNES","2024-01-01",19,"Hurto","Hurto total","NO","NO","BARRACAS",4,"-34.65440571","-58.39932667",1
1399759,"2024","ENERO","LUNES","2024-01-01",3,"Robo","Robo total","NO","NO","CABALLITO",6,"-34.617319","-58.445623",1
1399760,"2024","ENERO","LUNES","2024-01-01",2,"Hurto","Hurto automotor","NO","NO","VILLA LUGANO",8,"-34.685768","-58.48266",1
1399761,"2024","ENERO","LUNES","2024-01-01",12,"Robo","Robo total","NO","NO","LINIERS",9,"-34.645696","-58.520301",1
1399762,"2024","ENERO","LUNES","2024-01-01",15,"Hurto","Hurto total","NO","NO","BALVANERA",3,"-34.61701053","-58.39346432",1
1399763,"2024","ENERO","LUNES","2024-01-01",2,"Robo","Robo total","NO","NO","PALERMO",14,"-34.584775","-58.411483",1
1399764,"2024","ENERO","LUNES","2024-01-01",17,"Hurto","Hurto total","NO","NO","VILLA LUGANO",8,"-34.671152","-58.490711",1
1399765,"2024","ENERO","LUNES","2024-01-01",10,"Hurto","Hurto total","NO","NO","VILLA SOLDATI",8,"-34.65739825","-58.45639078",1
1399766,"2024","ENERO","LUNES","2024-01-01",3,"Robo","Robo total","SI","NO","NUEVA POMPEYA",4,"-34.647871","-58.43297",1
1399767,"2024","ENERO","LUNES","2024-01-01",16,"Hurto","Hurto automotor","NO","NO","FLORES",7,"-34.644373","-58.445224",1
1399768,"2024","ENERO","LUNES","2024-01-01",7,"Robo","Robo total","SI","NO","PARQUE AVELLANEDA",9,"-34.661429","-58.47418",1
1399769,"2024","ENERO","LUNES","2024-01-01",5,"Robo","Robo total","NO","NO","MONTE CASTRO",10,"-34.618632","-58.513263",1
1399770,"2024","ENERO","LUNES","2024-01-01",21,"Robo","Robo automotor","SI","NO","FLORES",7,"-34.648812","-58.440701",1
1399771,"2024","ENERO","LUNES","2024-01-01",8,"Robo","Robo total","NO","NO","RECOLETA",2,"-34.57241789","-58.39492816",1
1399772,"2024","ENERO","LUNES","2024-01-01",9,"Robo","Robo total","NO","NO","VILLA LURO",10,"-34.63870543","-58.5018843",1
1399773,"2024","ENERO","LUNES","2024-01-01",21,"Robo","Robo total","SI","NO","VILLA SOLDATI",8,"-34.6641632","-58.4553265",1
1399774,"2024","ENERO","LUNES","2024-01-01",3,"Robo","Robo total","NO","NO","FLORES",7,"-34.622299","-58.475333",1
1399775,"2024","ENERO","LUNES","2024-01-01",6,"Robo","Robo total","NO","NO","CABALLITO",6,"-34.6227197","-58.44199082",1
1399776,"2024","ENERO","LUNES","2024-01-01",16,"Hurto","Hurto total","NO","NO","VILLA LUGANO",8,"-34.68301921","-58.47967008",1
1399777,"2024","ENERO","LUNES","2024-01-01",16,"Hurto","Hurto automotor","NO","NO","VILLA LUGANO",8,"-34.6780623","-58.4873807",1
1399778,"2024","ENERO","LUNES","2024-01-01",8,"Robo","Robo total","NO","SI","VILLA LUGANO",8,"-34.68025","-58.47145",1
1399779,"2024","ENERO","LUNES","2024-01-01",23,"Robo","Robo total","NO","NO","VILLA SOLDATI",8,"-34.659544","-58.434268",1
1399780,"2024","ENERO","LUNES","2024-01-01",0,"Hurto","Hurto total","NO","NO","NUEVA POMPEYA",4,"-34.64782","-58.412289",1
1399781,"2024","ENERO","LUNES","2024-01-01",15,"Robo","Robo total","NO","NO","CHACARITA",15,"-34.58974","-58.44323",1
1399782,"2024","ENERO","LUNES","2024-01-01",2,"Robo","Robo total","NO","NO","RECOLETA",2,"-34.59526783","-58.38849381",1
1399783,"2024","ENERO","LUNES","2024-01-01",21,"Robo","Robo total","NO","NO","BALVANERA",3,"-34.609928","-58.40042",1
1399784,"2024","ENERO","LUNES","2024-01-01",11,"Hurto","Hurto total","NO","NO","BALVANERA",3,"-34.61171394","-58.3974742",1
1399785,"2024","ENERO","LUNES","2024-01-01",22,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.64043931","-58.51682012",1
1399786,"2024","ENERO","LUNES","2024-01-01",13,"Hurto","Hurto total","NO","NO","FLORES",7,"-34.62236504","-58.47652648",1
1399787,"2024","ENERO","LUNES","2024-01-01",10,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.639059","-58.518766",1
1399788,"2024","ENERO","LUNES","2024-01-01",4,"Robo","Robo total","NO","NO","CONSTITUCION",1,"-34.629833","-58.383601",1
1399789,"2024","ENERO","LUNES","2024-01-01",13,"Robo","Robo total","NO","NO","VILLA REAL",10,"-34.62311027","-58.53005478",1
1399790,"2024","ENERO","LUNES","2024-01-01",5,"Robo","Robo total","SI","NO","PALERMO",14,"-34.560787","-58.407428",1
1399791,"2024","ENERO","LUNES","2024-01-01",12,"Robo","Robo total","NO","SI","PATERNAL",15,"-34.591327","-58.466176",1
1399792,"2024","ENERO","LUNES","2024-01-01",1,"Hurto","Hurto total","NO","NO","PUERTO MADERO",1,"-34.609048","-58.355694",1
1399793,"2024","ENERO","LUNES","2024-01-01",3,"Robo","Robo total","NO","NO","PALERMO",14,"-34.57969","-58.431292",1
1399794,"2024","ENERO","LUNES","2024-01-01",2,"Hurto","Hurto total","NO","NO","MATADEROS",9,"-34.65082181","-58.48914128",1
1399795,"2024","ENERO","LUNES","2024-01-01",0,"Hurto","Hurto total","NO","NO","COLEGIALES",13,"-34.57286","-58.459397",1
1399796,"2024","ENERO","LUNES","2024-01-01",6,"Robo","Robo total","NO","SI","CABALLITO",6,"-34.623017","-58.443622",1
1399797,"2024","ENERO","LUNES","2024-01-01",13,"Hurto","Hurto total","NO","NO","CHACARITA",15,"-34.58872798","-58.44443232",1
1399798,"2024","ENERO","LUNES","2024-01-01",0,"Robo","Robo total","NO","NO","COLEGIALES",13,"-34.576452","-58.460853",1
1399799,"2024","ENERO","LUNES","2024-01-01",16,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.649186","-58.515627",1
1399800,"2024","ENERO","LUNES","2024-01-01",19,"Hurto","Hurto total","NO","NO","PATERNAL",15,"-34.60135","-58.474057",1
1399801,"2024","ENERO","LUNES","2024-01-01",6,"Hurto","Hurto total","NO","NO","BOCA",4,"-34.63003","-58.363642",1
1399802,"2024","ENERO","LUNES","2024-01-01",2,"Hurto","Hurto total","NO","NO","BELGRANO",13,"-34.55133162","-58.42650352",1
1399803,"2024","ENERO","LUNES","2024-01-01",12,"Robo","Robo total","NO","NO","VILLA CRESPO",15,"-34.603271","-58.442895",1
1399804,"2024","ENERO","LUNES","2024-01-01",14,"Hurto","Hurto total","NO","NO","RETIRO",1,"-34.58961111","-58.37283437",1
1399805,"2024","ENERO","LUNES","2024-01-01",15,"Robo","Robo total","NO","NO","LINIERS",9,"-34.64392061","-58.52882682",1
1399806,"2024","ENERO","LUNES","2024-01-01",12,"Robo","Robo total","NO","NO","CHACARITA",15,"-34.59143","-58.453636",1
1399807,"2024","ENERO","LUNES","2024-01-01",2,"Robo","Robo total","NO","NO","PALERMO",14,"-34.596432","-58.420488",1
1399808,"2024","ENERO","LUNES","2024-01-01",12,"Robo","Robo total","NO","NO","FLORES",7,"-34.630348","-58.453561",1
1399809,"2024","ENERO","LUNES","2024-01-01",1,"Robo","Robo total","NO","NO","PALERMO",14,"-34.58943","-58.420952",1
1399810,"2024","ENERO","LUNES","2024-01-01",16,"Robo","Robo total","NO","NO","PARQUE CHACABUCO",7,"-34.635045","-58.450118",1
